disease_uid1	disease_uid2	shared_genes_count	associated_genes_disease1	associated_genes_disease2	pct1	pct2
AID00005	AID00007	164	291	1324	12.3867	56.3574
AID00005	AID00008	44	291	123	15.1203	35.7724
AID00005	AID00009	69	291	304	22.6974	23.7113
AID00005	AID00010	115	291	788	14.5939	39.5189
AID00005	AID00011	50	291	394	12.6904	17.1821
AID00005	AID00012	34	291	111	11.6838	30.6306
AID00005	AID00013	8	291	31	2.74914	25.8065
AID00005	AID00014	43	291	188	14.7766	22.8723
AID00005	AID00015	57	291	177	19.5876	32.2034
AID00005	AID00016	40	291	181	13.7457	22.0994
AID00005	AID00017	124	291	876	14.1553	42.6117
AID00005	AID00018	31	291	88	10.6529	35.2273
AID00005	AID00019	28	291	90	9.62199	31.1111
AID00005	AID00020	20	291	103	6.87285	19.4175
AID00005	AID00021	108	291	709	15.2327	37.1134
AID00005	AID00022	78	291	262	26.8041	29.771
AID00005	AID00023	78	291	469	16.6311	26.8041
AID00005	AID00024	6	291	43	2.06186	13.9535
AID00005	AID00025	55	291	257	18.9003	21.4008
AID00005	AID00026	21	291	48	7.2165	43.75
AID00005	AID00028	64	291	226	21.9931	28.3186
AID00005	AID00029	12	291	50	4.12371	24
AID00005	AID00030	108	291	843	12.8114	37.1134
AID00005	AID00031	5	291	31	1.71821	16.129
AID00005	AID00032	25	291	124	8.59107	20.1613
AID00005	AID00033	30	291	96	10.3093	31.25
AID00005	AID00034	1	291	9	0.343643	11.1111
AID00005	AID00035	4	291	23	1.37457	17.3913
AID00005	AID00036	30	291	105	10.3093	28.5714
AID00005	AID00037	9	291	26	3.09278	34.6154
AID00005	AID00038	33	291	217	11.3402	15.2074
AID00005	AID00039	4	291	73	1.37457	5.47945
AID00005	AID00041	46	291	475	9.68421	15.8076
AID00005	AID00043	2	291	14	0.687285	14.2857
AID00005	AID00044	5	291	15	1.71821	33.3333
AID00005	AID00045	9	291	25	3.09278	36
AID00005	AID00046	1	291	2	0.343643	50
AID00005	AID00047	8	291	26	2.74914	30.7692
AID00005	AID00048	2	291	11	0.687285	18.1818
AID00005	AID00049	2	291	12	0.687285	16.6667
AID00005	AID00053	8	291	20	2.74914	40
AID00006	AID00007	74	91	1324	5.58912	81.3187
AID00006	AID00008	29	91	123	23.5772	31.8681
AID00006	AID00009	37	91	304	12.1711	40.6593
AID00006	AID00010	64	91	788	8.12183	70.3297
AID00006	AID00011	42	91	394	10.6599	46.1538
AID00006	AID00012	22	91	111	19.8198	24.1758
AID00006	AID00013	3	91	31	3.2967	9.67742
AID00006	AID00014	34	91	188	18.0851	37.3626
AID00006	AID00015	35	91	177	19.774	38.4615
AID00006	AID00016	30	91	181	16.5746	32.967
AID00006	AID00017	66	91	876	7.53425	72.5275
AID00006	AID00018	16	91	88	17.5824	18.1818
AID00006	AID00019	23	91	90	25.2747	25.5556
AID00006	AID00020	19	91	103	18.4466	20.8791
AID00006	AID00021	60	91	709	8.46262	65.9341
AID00006	AID00022	44	91	262	16.7939	48.3517
AID00006	AID00023	44	91	469	9.38166	48.3517
AID00006	AID00024	11	91	43	12.0879	25.5814
AID00006	AID00025	37	91	257	14.3969	40.6593
AID00006	AID00026	17	91	48	18.6813	35.4167
AID00006	AID00028	37	91	226	16.3717	40.6593
AID00006	AID00029	8	91	50	8.79121	16
AID00006	AID00030	56	91	843	6.64294	61.5385
AID00006	AID00031	5	91	31	5.49451	16.129
AID00006	AID00032	26	91	124	20.9677	28.5714
AID00006	AID00033	23	91	96	23.9583	25.2747
AID00006	AID00034	3	91	9	3.2967	33.3333
AID00006	AID00035	3	91	23	3.2967	13.0435
AID00006	AID00036	28	91	105	26.6667	30.7692
AID00006	AID00037	3	91	26	3.2967	11.5385
AID00006	AID00038	21	91	217	9.67742	23.0769
AID00006	AID00039	7	91	73	7.69231	9.58904
AID00006	AID00041	16	91	475	3.36842	17.5824
AID00006	AID00043	1	91	14	1.0989	7.14286
AID00006	AID00044	4	91	15	4.3956	26.6667
AID00006	AID00045	7	91	25	7.69231	28
AID00006	AID00047	7	91	26	7.69231	26.9231
AID00006	AID00048	2	91	11	2.1978	18.1818
AID00006	AID00049	1	91	12	1.0989	8.33333
AID00006	AID00053	2	91	20	2.1978	10
AID00007	AID00008	97	1324	123	7.32628	78.8618
AID00007	AID00009	163	1324	304	12.3112	53.6184
AID00007	AID00010	385	1324	788	29.0786	48.8579
AID00007	AID00011	218	1324	394	16.4653	55.3299
AID00007	AID00012	77	1324	111	5.81571	69.3694
AID00007	AID00013	15	1324	31	1.13293	48.3871
AID00007	AID00014	116	1324	188	8.76133	61.7021
AID00007	AID00015	121	1324	177	9.13897	68.3616
AID00007	AID00016	102	1324	181	7.70393	56.3536
AID00007	AID00017	467	1324	876	35.2719	53.3105
AID00007	AID00018	60	1324	88	4.53172	68.1818
AID00007	AID00019	59	1324	90	4.45619	65.5556
AID00007	AID00020	49	1324	103	3.70091	47.5728
AID00007	AID00021	391	1324	709	29.5317	55.1481
AID00007	AID00022	188	1324	262	14.1994	71.7557
AID00007	AID00023	294	1324	469	22.2054	62.6866
AID00007	AID00024	33	1324	43	2.49245	76.7442
AID00007	AID00025	173	1324	257	13.0665	67.3152
AID00007	AID00026	41	1324	48	3.09668	85.4167
AID00007	AID00028	136	1324	226	10.2719	60.177
AID00007	AID00029	27	1324	50	2.03927	54
AID00007	AID00030	407	1324	843	30.7402	48.28
AID00007	AID00031	14	1324	31	1.0574	45.1613
AID00007	AID00032	93	1324	124	7.02417	75
AID00007	AID00033	69	1324	96	5.21148	71.875
AID00007	AID00034	6	1324	9	0.453172	66.6667
AID00007	AID00035	8	1324	23	0.60423	34.7826
AID00007	AID00036	65	1324	105	4.90937	61.9048
AID00007	AID00037	15	1324	26	1.13293	57.6923
AID00007	AID00038	91	1324	217	6.87311	41.9355
AID00007	AID00039	30	1324	73	2.26586	41.0959
AID00007	AID00041	133	1324	475	10.0453	28
AID00007	AID00043	8	1324	14	0.60423	57.1429
AID00007	AID00044	6	1324	15	0.453172	40
AID00007	AID00045	16	1324	25	1.20846	64
AID00007	AID00046	1	1324	2	0.0755287	50
AID00007	AID00047	19	1324	26	1.43505	73.0769
AID00007	AID00048	6	1324	11	0.453172	54.5455
AID00007	AID00049	1	1324	12	0.0755287	8.33333
AID00007	AID00053	12	1324	20	0.906344	60
AID00008	AID00009	50	123	304	16.4474	40.6504
AID00008	AID00010	82	123	788	10.4061	66.6667
AID00008	AID00011	57	123	394	14.467	46.3415
AID00008	AID00012	26	123	111	21.1382	23.4234
AID00008	AID00013	1	123	31	0.813008	3.22581
AID00008	AID00014	35	123	188	18.617	28.4553
AID00008	AID00015	42	123	177	23.7288	34.1463
AID00008	AID00016	31	123	181	17.1271	25.2033
AID00008	AID00017	95	123	876	10.8447	77.2358
AID00008	AID00018	21	123	88	17.0732	23.8636
AID00008	AID00019	22	123	90	17.8862	24.4444
AID00008	AID00020	18	123	103	14.6341	17.4757
AID00008	AID00021	80	123	709	11.2835	65.0406
AID00008	AID00022	62	123	262	23.6641	50.4065
AID00008	AID00023	61	123	469	13.0064	49.5935
AID00008	AID00024	11	123	43	8.94309	25.5814
AID00008	AID00025	50	123	257	19.4553	40.6504
AID00008	AID00026	15	123	48	12.1951	31.25
AID00008	AID00028	43	123	226	19.0265	34.9594
AID00008	AID00029	10	123	50	8.13008	20
AID00008	AID00030	84	123	843	9.96441	68.2927
AID00008	AID00031	3	123	31	2.43902	9.67742
AID00008	AID00032	37	123	124	29.8387	30.0813
AID00008	AID00033	25	123	96	20.3252	26.0417
AID00008	AID00034	1	123	9	0.813008	11.1111
AID00008	AID00035	3	123	23	2.43902	13.0435
AID00008	AID00036	22	123	105	17.8862	20.9524
AID00008	AID00037	4	123	26	3.25203	15.3846
AID00008	AID00038	35	123	217	16.129	28.4553
AID00008	AID00039	2	123	73	1.62602	2.73973
AID00008	AID00041	16	123	475	3.36842	13.0081
AID00008	AID00043	3	123	14	2.43902	21.4286
AID00008	AID00044	1	123	15	0.813008	6.66667
AID00008	AID00045	6	123	25	4.87805	24
AID00008	AID00047	8	123	26	6.50407	30.7692
AID00008	AID00048	2	123	11	1.62602	18.1818
AID00008	AID00053	3	123	20	2.43902	15
AID00009	AID00010	135	304	788	17.132	44.4079
AID00009	AID00011	69	304	394	17.5127	22.6974
AID00009	AID00012	36	304	111	11.8421	32.4324
AID00009	AID00013	7	304	31	2.30263	22.5806
AID00009	AID00014	49	304	188	16.1184	26.0638
AID00009	AID00015	51	304	177	16.7763	28.8136
AID00009	AID00016	48	304	181	15.7895	26.5193
AID00009	AID00017	115	304	876	13.1279	37.8289
AID00009	AID00018	21	304	88	6.90789	23.8636
AID00009	AID00019	32	304	90	10.5263	35.5556
AID00009	AID00020	22	304	103	7.23684	21.3592
AID00009	AID00021	103	304	709	14.5275	33.8816
AID00009	AID00022	71	304	262	23.3553	27.0992
AID00009	AID00023	78	304	469	16.6311	25.6579
AID00009	AID00024	10	304	43	3.28947	23.2558
AID00009	AID00025	48	304	257	15.7895	18.677
AID00009	AID00026	18	304	48	5.92105	37.5
AID00009	AID00028	58	304	226	19.0789	25.6637
AID00009	AID00029	14	304	50	4.60526	28
AID00009	AID00030	133	304	843	15.777	43.75
AID00009	AID00031	5	304	31	1.64474	16.129
AID00009	AID00032	31	304	124	10.1974	25
AID00009	AID00033	23	304	96	7.56579	23.9583
AID00009	AID00034	1	304	9	0.328947	11.1111
AID00009	AID00035	5	304	23	1.64474	21.7391
AID00009	AID00036	34	304	105	11.1842	32.381
AID00009	AID00037	2	304	26	0.657895	7.69231
AID00009	AID00038	26	304	217	8.55263	11.9816
AID00009	AID00039	5	304	73	1.64474	6.84932
AID00009	AID00041	37	304	475	7.78947	12.1711
AID00009	AID00043	2	304	14	0.657895	14.2857
AID00009	AID00044	3	304	15	0.986842	20
AID00009	AID00045	7	304	25	2.30263	28
AID00009	AID00046	1	304	2	0.328947	50
AID00009	AID00047	6	304	26	1.97368	23.0769
AID00009	AID00048	2	304	11	0.657895	18.1818
AID00009	AID00049	2	304	12	0.657895	16.6667
AID00009	AID00053	10	304	20	3.28947	50
AID00010	AID00011	155	788	394	19.6701	39.3401
AID00010	AID00012	59	788	111	7.48731	53.1532
AID00010	AID00013	6	788	31	0.761421	19.3548
AID00010	AID00014	86	788	188	10.9137	45.7447
AID00010	AID00015	109	788	177	13.8325	61.5819
AID00010	AID00016	83	788	181	10.533	45.8564
AID00010	AID00017	288	788	876	32.8767	36.5482
AID00010	AID00018	49	788	88	6.21827	55.6818
AID00010	AID00019	49	788	90	6.21827	54.4444
AID00010	AID00020	40	788	103	5.07614	38.835
AID00010	AID00021	272	788	709	34.5178	38.3639
AID00010	AID00022	145	788	262	18.401	55.3435
AID00010	AID00023	195	788	469	24.7462	41.5778
AID00010	AID00024	19	788	43	2.41117	44.186
AID00010	AID00025	122	788	257	15.4822	47.4708
AID00010	AID00026	33	788	48	4.18782	68.75
AID00010	AID00028	94	788	226	11.9289	41.5929
AID00010	AID00029	26	788	50	3.29949	52
AID00010	AID00030	395	788	843	46.8565	50.1269
AID00010	AID00031	3	788	31	0.380711	9.67742
AID00010	AID00032	66	788	124	8.37563	53.2258
AID00010	AID00033	50	788	96	6.34518	52.0833
AID00010	AID00034	5	788	9	0.634518	55.5556
AID00010	AID00035	6	788	23	0.761421	26.087
AID00010	AID00036	54	788	105	6.85279	51.4286
AID00010	AID00037	12	788	26	1.52284	46.1538
AID00010	AID00038	69	788	217	8.75634	31.7972
AID00010	AID00039	20	788	73	2.53807	27.3973
AID00010	AID00041	82	788	475	10.4061	17.2632
AID00010	AID00043	5	788	14	0.634518	35.7143
AID00010	AID00044	2	788	15	0.253807	13.3333
AID00010	AID00045	12	788	25	1.52284	48
AID00010	AID00046	1	788	2	0.126904	50
AID00010	AID00047	16	788	26	2.03046	61.5385
AID00010	AID00048	6	788	11	0.761421	54.5455
AID00010	AID00049	1	788	12	0.126904	8.33333
AID00010	AID00053	14	788	20	1.77665	70
AID00011	AID00012	42	394	111	10.6599	37.8378
AID00011	AID00013	3	394	31	0.761421	9.67742
AID00011	AID00014	57	394	188	14.467	30.3191
AID00011	AID00015	79	394	177	20.0508	44.6328
AID00011	AID00016	47	394	181	11.9289	25.9669
AID00011	AID00017	162	394	876	18.4932	41.1168
AID00011	AID00018	29	394	88	7.36041	32.9545
AID00011	AID00019	34	394	90	8.62944	37.7778
AID00011	AID00020	23	394	103	5.83756	22.3301
AID00011	AID00021	191	394	709	26.9394	48.4772
AID00011	AID00022	99	394	262	25.1269	37.7863
AID00011	AID00023	118	394	469	25.1599	29.9492
AID00011	AID00024	20	394	43	5.07614	46.5116
AID00011	AID00025	72	394	257	18.2741	28.0156
AID00011	AID00026	22	394	48	5.58376	45.8333
AID00011	AID00028	66	394	226	16.7513	29.2035
AID00011	AID00029	18	394	50	4.56853	36
AID00011	AID00030	171	394	843	20.2847	43.401
AID00011	AID00031	6	394	31	1.52284	19.3548
AID00011	AID00032	52	394	124	13.198	41.9355
AID00011	AID00033	35	394	96	8.88325	36.4583
AID00011	AID00034	4	394	9	1.01523	44.4444
AID00011	AID00035	5	394	23	1.26904	21.7391
AID00011	AID00036	40	394	105	10.1523	38.0952
AID00011	AID00037	8	394	26	2.03046	30.7692
AID00011	AID00038	45	394	217	11.4213	20.7373
AID00011	AID00039	30	394	73	7.61421	41.0959
AID00011	AID00041	43	394	475	9.05263	10.9137
AID00011	AID00043	2	394	14	0.507614	14.2857
AID00011	AID00044	3	394	15	0.761421	20
AID00011	AID00045	6	394	25	1.52284	24
AID00011	AID00047	9	394	26	2.28426	34.6154
AID00011	AID00048	5	394	11	1.26904	45.4545
AID00011	AID00049	1	394	12	0.253807	8.33333
AID00011	AID00053	8	394	20	2.03046	40
AID00012	AID00013	3	111	31	2.7027	9.67742
AID00012	AID00014	26	111	188	13.8298	23.4234
AID00012	AID00015	33	111	177	18.6441	29.7297
AID00012	AID00016	24	111	181	13.2597	21.6216
AID00012	AID00017	71	111	876	8.10502	63.964
AID00012	AID00018	21	111	88	18.9189	23.8636
AID00012	AID00019	21	111	90	18.9189	23.3333
AID00012	AID00020	13	111	103	11.7117	12.6214
AID00012	AID00021	62	111	709	8.74471	55.8559
AID00012	AID00022	49	111	262	18.7023	44.1441
AID00012	AID00023	58	111	469	12.3667	52.2523
AID00012	AID00024	10	111	43	9.00901	23.2558
AID00012	AID00025	32	111	257	12.4514	28.8288
AID00012	AID00026	14	111	48	12.6126	29.1667
AID00012	AID00028	30	111	226	13.2743	27.027
AID00012	AID00029	7	111	50	6.30631	14
AID00012	AID00030	63	111	843	7.47331	56.7568
AID00012	AID00031	1	111	31	0.900901	3.22581
AID00012	AID00032	21	111	124	16.9355	18.9189
AID00012	AID00033	28	111	96	25.2252	29.1667
AID00012	AID00034	3	111	9	2.7027	33.3333
AID00012	AID00035	1	111	23	0.900901	4.34783
AID00012	AID00036	17	111	105	15.3153	16.1905
AID00012	AID00037	6	111	26	5.40541	23.0769
AID00012	AID00038	23	111	217	10.5991	20.7207
AID00012	AID00039	4	111	73	3.6036	5.47945
AID00012	AID00041	21	111	475	4.42105	18.9189
AID00012	AID00043	2	111	14	1.8018	14.2857
AID00012	AID00044	1	111	15	0.900901	6.66667
AID00012	AID00045	2	111	25	1.8018	8
AID00012	AID00047	4	111	26	3.6036	15.3846
AID00012	AID00048	3	111	11	2.7027	27.2727
AID00012	AID00053	3	111	20	2.7027	15
AID00013	AID00014	4	31	188	2.12766	12.9032
AID00013	AID00015	5	31	177	2.82486	16.129
AID00013	AID00016	3	31	181	1.65746	9.67742
AID00013	AID00017	13	31	876	1.48402	41.9355
AID00013	AID00018	2	31	88	2.27273	6.45161
AID00013	AID00019	4	31	90	4.44444	12.9032
AID00013	AID00020	4	31	103	3.8835	12.9032
AID00013	AID00021	10	31	709	1.41044	32.2581
AID00013	AID00022	8	31	262	3.05344	25.8065
AID00013	AID00023	6	31	469	1.27932	19.3548
AID00013	AID00025	8	31	257	3.11284	25.8065
AID00013	AID00026	4	31	48	8.33333	12.9032
AID00013	AID00028	9	31	226	3.9823	29.0323
AID00013	AID00029	1	31	50	2	3.22581
AID00013	AID00030	7	31	843	0.830368	22.5806
AID00013	AID00031	2	31	31	6.45161	6.45161
AID00013	AID00032	1	31	124	0.806452	3.22581
AID00013	AID00033	1	31	96	1.04167	3.22581
AID00013	AID00036	2	31	105	1.90476	6.45161
AID00013	AID00038	3	31	217	1.38249	9.67742
AID00013	AID00039	1	31	73	1.36986	3.22581
AID00013	AID00041	2	31	475	0.421053	6.45161
AID00013	AID00043	1	31	14	3.22581	7.14286
AID00014	AID00015	37	188	177	19.6809	20.904
AID00014	AID00016	38	188	181	20.2128	20.9945
AID00014	AID00017	107	188	876	12.2146	56.9149
AID00014	AID00018	17	188	88	9.04255	19.3182
AID00014	AID00019	36	188	90	19.1489	40
AID00014	AID00020	16	188	103	8.51064	15.534
AID00014	AID00021	74	188	709	10.4372	39.3617
AID00014	AID00022	49	188	262	18.7023	26.0638
AID00014	AID00023	68	188	469	14.4989	36.1702
AID00014	AID00024	15	188	43	7.97872	34.8837
AID00014	AID00025	50	188	257	19.4553	26.5957
AID00014	AID00026	16	188	48	8.51064	33.3333
AID00014	AID00028	52	188	226	23.0089	27.6596
AID00014	AID00029	10	188	50	5.31915	20
AID00014	AID00030	82	188	843	9.72717	43.617
AID00014	AID00031	3	188	31	1.59574	9.67742
AID00014	AID00032	36	188	124	19.1489	29.0323
AID00014	AID00033	25	188	96	13.2979	26.0417
AID00014	AID00034	2	188	9	1.06383	22.2222
AID00014	AID00035	3	188	23	1.59574	13.0435
AID00014	AID00036	55	188	105	29.2553	52.381
AID00014	AID00037	3	188	26	1.59574	11.5385
AID00014	AID00038	24	188	217	11.0599	12.766
AID00014	AID00039	5	188	73	2.65957	6.84932
AID00014	AID00041	18	188	475	3.78947	9.57447
AID00014	AID00043	2	188	14	1.06383	14.2857
AID00014	AID00044	5	188	15	2.65957	33.3333
AID00014	AID00045	5	188	25	2.65957	20
AID00014	AID00047	5	188	26	2.65957	19.2308
AID00014	AID00048	1	188	11	0.531915	9.09091
AID00014	AID00049	1	188	12	0.531915	8.33333
AID00014	AID00053	4	188	20	2.12766	20
AID00015	AID00016	35	177	181	19.337	19.774
AID00015	AID00017	104	177	876	11.8721	58.7571
AID00015	AID00018	26	177	88	14.6893	29.5455
AID00015	AID00019	24	177	90	13.5593	26.6667
AID00015	AID00020	18	177	103	10.1695	17.4757
AID00015	AID00021	91	177	709	12.835	51.4124
AID00015	AID00022	81	177	262	30.916	45.7627
AID00015	AID00023	62	177	469	13.2196	35.0282
AID00015	AID00024	11	177	43	6.21469	25.5814
AID00015	AID00025	49	177	257	19.0661	27.6836
AID00015	AID00026	18	177	48	10.1695	37.5
AID00015	AID00028	42	177	226	18.5841	23.7288
AID00015	AID00029	16	177	50	9.03955	32
AID00015	AID00030	93	177	843	11.032	52.5424
AID00015	AID00031	4	177	31	2.25989	12.9032
AID00015	AID00032	29	177	124	16.3842	23.3871
AID00015	AID00033	30	177	96	16.9492	31.25
AID00015	AID00034	1	177	9	0.564972	11.1111
AID00015	AID00035	1	177	23	0.564972	4.34783
AID00015	AID00036	26	177	105	14.6893	24.7619
AID00015	AID00037	6	177	26	3.38983	23.0769
AID00015	AID00038	35	177	217	16.129	19.774
AID00015	AID00039	11	177	73	6.21469	15.0685
AID00015	AID00041	29	177	475	6.10526	16.3842
AID00015	AID00043	3	177	14	1.69492	21.4286
AID00015	AID00044	2	177	15	1.12994	13.3333
AID00015	AID00045	8	177	25	4.51977	32
AID00015	AID00046	1	177	2	0.564972	50
AID00015	AID00047	9	177	26	5.08475	34.6154
AID00015	AID00048	4	177	11	2.25989	36.3636
AID00015	AID00053	3	177	20	1.69492	15
AID00016	AID00017	85	181	876	9.7032	46.9613
AID00016	AID00018	13	181	88	7.18232	14.7727
AID00016	AID00019	21	181	90	11.6022	23.3333
AID00016	AID00020	15	181	103	8.28729	14.5631
AID00016	AID00021	63	181	709	8.88575	34.8066
AID00016	AID00022	54	181	262	20.6107	29.8343
AID00016	AID00023	58	181	469	12.3667	32.0442
AID00016	AID00024	15	181	43	8.28729	34.8837
AID00016	AID00025	41	181	257	15.9533	22.6519
AID00016	AID00026	13	181	48	7.18232	27.0833
AID00016	AID00028	35	181	226	15.4867	19.337
AID00016	AID00029	20	181	50	11.0497	40
AID00016	AID00030	85	181	843	10.083	46.9613
AID00016	AID00031	3	181	31	1.65746	9.67742
AID00016	AID00032	32	181	124	17.6796	25.8065
AID00016	AID00033	20	181	96	11.0497	20.8333
AID00016	AID00034	3	181	9	1.65746	33.3333
AID00016	AID00035	1	181	23	0.552486	4.34783
AID00016	AID00036	30	181	105	16.5746	28.5714
AID00016	AID00037	2	181	26	1.10497	7.69231
AID00016	AID00038	23	181	217	10.5991	12.7072
AID00016	AID00039	4	181	73	2.20994	5.47945
AID00016	AID00041	17	181	475	3.57895	9.39227
AID00016	AID00043	2	181	14	1.10497	14.2857
AID00016	AID00044	2	181	15	1.10497	13.3333
AID00016	AID00045	6	181	25	3.31492	24
AID00016	AID00047	5	181	26	2.76243	19.2308
AID00016	AID00048	1	181	11	0.552486	9.09091
AID00016	AID00049	1	181	12	0.552486	8.33333
AID00016	AID00053	2	181	20	1.10497	10
AID00017	AID00018	51	876	88	5.82192	57.9545
AID00017	AID00019	55	876	90	6.27854	61.1111
AID00017	AID00020	38	876	103	4.3379	36.8932
AID00017	AID00021	273	876	709	31.1644	38.5049
